5033=Inactive Exchange starting Oct 29, 2007; was Nasdaq - Level 2|5034=9|5035=201|5026=1|
5033=OPRA - Level 1 (Includes Composite & Regionals)|5034=12|5035=201|5026=1|
5033=NYSE - Level 1 (Includes Composite & Regionals)|5034=13|5035=201|5026=1|
5033=AMEX - Level 1 (Includes Composite & Regionals)|5034=14|5035=201|5026=1|
5033=Nasdaq Level 1 (Includes Composite & Regionals)|5034=15|5035=201|5026=1|
5033=CME (Chicago Mercantile Exchange)|5034=16|5035=201|5026=1|
5033=COMEX (New York Commodities Exchange)|5034=18|5035=201|5026=1|
5033=CBOT (Chicago Board of Trade)|5034=19|5035=201|5026=1|
5033=NYBOT (New York Board of Trade)|5034=24|5035=201|5026=1|
5033=NYMEX (New York Mercantile Exchange)|5034=26|5035=201|5026=1|
5033=ComStock Network Time|5034=31|5035=201|5026=1|
5033=Platts Coal Data International|5034=193|5035=201|5026=1|
5033=Platts Coal Data U.S.|5034=194|5035=201|5026=1|
5033=Platts North American  Natural Gas Prices Daily|5034=195|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=196|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=197|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=198|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=199|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=200|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=201|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=202|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=203|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=204|5035=201|5026=1|
5033=Platts Inactive Exchange|5034=205|5035=201|5026=1|
5033=Caracas Stock Exchange Level 1 (Direct)|5034=206|5035=201|5026=1|
5033=Eurex Level 2|5034=207|5035=201|5026=1|
5033=Virt-X Level 1|5034=208|5035=201|5026=1|
5033=London Stock Exchange Domestic Level 2|5034=209|5035=201|5026=1|
5033=Xetra Level 2|5034=210|5035=201|5026=1|
5033=Xetra European Stars Level 1|5034=211|5035=201|5026=1|
5033=Xetra US Stars Level 1|5034=212|5035=201|5026=1|
5033=Deutsche Boerse Volatility Indices|5034=213|5035=201|5026=1|
5033=Spanish Warrants|5034=214|5035=201|5026=1|
5033=Spanish Stock Exchange Level 2 ( The next 5 best bids and asks )|5034=215|5035=201|5026=1|
5033=Spanish Stock Exchange Level 1 ( Last Price )|5034=216|5035=201|5026=1|
5033=Tokyo Level 2 JGB|5034=217|5035=201|5026=1|
5033=Chi-X Market Data Level 2|5034=218|5035=201|5026=1|
5033=NYSE - American Stock Exchange Regional Only|5034=225|5035=201|5026=1|
5033=NYSE - Boston Stock Exchange Regional Only|5034=226|5035=201|5026=1|
5033=NYSE - Cincinnati Stock Exchange Regional Only|5034=227|5035=201|5026=1|
5033=NYSE - Chicago Stock Exchange Regional Only|5034=228|5035=201|5026=1|
5033=NYSE - New York Stock Exchange Regional Only|5034=229|5035=201|5026=1|
5033=NYSE - Pacific Stock Exchange Regional Only|5034=230|5035=201|5026=1|
5033=NYSE - NASDAQ Regional Only|5034=231|5035=201|5026=1|
5033=NYSE - CBOE Regional Only|5034=232|5035=201|5026=1|
5033=NYSE - Philadelphia Stock Exchange Regional Only|5034=233|5035=201|5026=1|
5033=AMEX - American Stock Exchange Regional Only|5034=234|5035=201|5026=1|
5033=AMEX - Boston Stock Exchange Regional Only|5034=235|5035=201|5026=1|
5033=AMEX - Cincinnati Stock Exchange Regional Only|5034=236|5035=201|5026=1|
5033=AMEX - Chicago Stock Exchange Regional Only|5034=237|5035=201|5026=1|
5033=AMEX - NYSE Regional Only|5034=238|5035=201|5026=1|
5033=AMEX - NASDAQ Regional Only|5034=239|5035=201|5026=1|
5033=AMEX - Pacific Stock Exchange Regional Only|5034=240|5035=201|5026=1|
5033=AMEX - CBOE Regional Only|5034=241|5035=201|5026=1|
5033=AMEX - Philadelphia Stock Exchange Regional Only|5034=242|5035=201|5026=1|
5033=OPRA - AMEX Regional Only|5034=243|5035=201|5026=1|
5033=Vienna Indices|5034=244|5035=201|5026=1|
5033=OPRA - CBOE Regional Only|5034=245|5035=201|5026=1|
5033=OPRA - ISE Regional Only|5034=246|5035=201|5026=1|
5033=OPRA - Pacific Stock Exchange Regional Only|5034=247|5035=201|5026=1|
5033=OPRA - Philadelphia Stock Exchange Regional Only|5034=248|5035=201|5026=1|
